vector,geo,dguid,gender,age_group,indicators,coordinate,value
v1793295927,Newfoundland and Labrador,2021A000210,Both genders,"Total, 18 years and over","Wait time, 6 months or more",2.1.1.4.4,23.8
v1793295934,Newfoundland and Labrador,2021A000210,Both genders,"Total, 18 years and over",Satisfaction with wait time - Very satisfied or satisfied,2.1.1.5.4,51.5
v1793295941,Newfoundland and Labrador,2021A000210,Both genders,"Total, 18 years and over",Satisfaction with wait time - Dissatisfied or very dissatisfied,2.1.1.6.4,28.2
v1793295948,Newfoundland and Labrador,2021A000210,Both genders,"Total, 18 years and over",Life affected by wait time,2.1.1.7.4,61.9
v1793295955,Newfoundland and Labrador,2021A000210,Both genders,18 to 44 years,"Total, wait time - medical specialist",2.1.2.1.4,100.0
v1793295962,Newfoundland and Labrador,2021A000210,Both genders,18 to 44 years,"Wait time, less than 3 months",2.1.2.2.4,52.3
v1793295969,Newfoundland and Labrador,2021A000210,Both genders,18 to 44 years,"Wait time, 3 months to less than 6 months",2.1.2.3.4,22.6
v1793295976,Newfoundland and Labrador,2021A000210,Both genders,18 to 44 years,"Wait time, 6 months or more",2.1.2.4.4,25.1
v1793295983,Newfoundland and Labrador,2021A000210,Both genders,18 to 44 years,Satisfaction with wait time - Very satisfied or satisfied,2.1.2.5.4,44.1
v1793295990,Newfoundland and Labrador,2021A000210,Both genders,18 to 44 years,Satisfaction with wait time - Dissatisfied or very dissatisfied,2.1.2.6.4,34.9
v1793295997,Newfoundland and Labrador,2021A000210,Both genders,18 to 44 years,Life affected by wait time,2.1.2.7.4,66.9
v1793296004,Newfoundland and Labrador,2021A000210,Both genders,45 to 64 years,"Total, wait time - medical specialist",2.1.3.1.4,100.0
v1793296011,Newfoundland and Labrador,2021A000210,Both genders,45 to 64 years,"Wait time, less than 3 months",2.1.3.2.4,55.5
v1793296018,Newfoundland and Labrador,2021A000210,Both genders,45 to 64 years,"Wait time, 3 months to less than 6 months",2.1.3.3.4,19.7
v1793296025,Newfoundland and Labrador,2021A000210,Both genders,45 to 64 years,"Wait time, 6 months or more",2.1.3.4.4,24.8
v1793296032,Newfoundland and Labrador,2021A000210,Both genders,45 to 64 years,Satisfaction with wait time - Very satisfied or satisfied,2.1.3.5.4,49.0
v1793296039,Newfoundland and Labrador,2021A000210,Both genders,45 to 64 years,Satisfaction with wait time - Dissatisfied or very dissatisfied,2.1.3.6.4,31.7
v1793296046,Newfoundland and Labrador,2021A000210,Both genders,45 to 64 years,Life affected by wait time,2.1.3.7.4,63.8
v1793296053,Newfoundland and Labrador,2021A000210,Both genders,65 years and over,"Total, wait time - medical specialist",2.1.4.1.4,100.0
v1793296060,Newfoundland and Labrador,2021A000210,Both genders,65 years and over,"Wait time, less than 3 months",2.1.4.2.4,59.7
v1793296067,Newfoundland and Labrador,2021A000210,Both genders,65 years and over,"Wait time, 3 months to less than 6 months",2.1.4.3.4,18.8
v1793296074,Newfoundland and Labrador,2021A000210,Both genders,65 years and over,"Wait time, 6 months or more",2.1.4.4.4,21.6
v1793296081,Newfoundland and Labrador,2021A000210,Both genders,65 years and over,Satisfaction with wait time - Very satisfied or satisfied,2.1.4.5.4,60.8
v1793296088,Newfoundland and Labrador,2021A000210,Both genders,65 years and over,Satisfaction with wait time - Dissatisfied or very dissatisfied,2.1.4.6.4,18.6
v1793296095,Newfoundland and Labrador,2021A000210,Both genders,65 years and over,Life affected by wait time,2.1.4.7.4,55.3
v1793296102,Newfoundland and Labrador,2021A000210,Men+,"Total, 18 years and over","Total, wait time - medical specialist",2.2.1.1.4,100.0
v1793296109,Newfoundland and Labrador,2021A000210,Men+,"Total, 18 years and over","Wait time, less than 3 months",2.2.1.2.4,60.3
v1793296116,Newfoundland and Labrador,2021A000210,Men+,"Total, 18 years and over","Wait time, 3 months to less than 6 months",2.2.1.3.4,20.8
v1793296123,Newfoundland and Labrador,2021A000210,Men+,"Total, 18 years and over","Wait time, 6 months or more",2.2.1.4.4,18.8
v1793296130,Newfoundland and Labrador,2021A000210,Men+,"Total, 18 years and over",Satisfaction with wait time - Very satisfied or satisfied,2.2.1.5.4,52.9
v1793296137,Newfoundland and Labrador,2021A000210,Men+,"Total, 18 years and over",Satisfaction with wait time - Dissatisfied or very dissatisfied,2.2.1.6.4,25.9
v1793296144,Newfoundland and Labrador,2021A000210,Men+,"Total, 18 years and over",Life affected by wait time,2.2.1.7.4,61.2
v1793296151,Newfoundland and Labrador,2021A000210,Men+,18 to 44 years,"Total, wait time - medical specialist",2.2.2.1.4,100.0
v1793296158,Newfoundland and Labrador,2021A000210,Men+,18 to 44 years,"Wait time, less than 3 months",2.2.2.2.4,59.2
v1793296165,Newfoundland and Labrador,2021A000210,Men+,18 to 44 years,"Wait time, 3 months to less than 6 months",2.2.2.3.4,24.0
v1793296172,Newfoundland and Labrador,2021A000210,Men+,18 to 44 years,"Wait time, 6 months or more",2.2.2.4.4,16.8
v1793296179,Newfoundland and Labrador,2021A000210,Men+,18 to 44 years,Satisfaction with wait time - Very satisfied or satisfied,2.2.2.5.4,49.3
v1793296186,Newfoundland and Labrador,2021A000210,Men+,18 to 44 years,Satisfaction with wait time - Dissatisfied or very dissatisfied,2.2.2.6.4,28.4
v1793296193,Newfoundland and Labrador,2021A000210,Men+,18 to 44 years,Life affected by wait time,2.2.2.7.4,64.7
v1793296200,Newfoundland and Labrador,2021A000210,Men+,45 to 64 years,"Total, wait time - medical specialist",2.2.3.1.4,100.0
v1793296207,Newfoundland and Labrador,2021A000210,Men+,45 to 64 years,"Wait time, less than 3 months",2.2.3.2.4,56.7
v1793296214,Newfoundland and Labrador,2021A000210,Men+,45 to 64 years,"Wait time, 3 months to less than 6 months",2.2.3.3.4,20.7
v1793296221,Newfoundland and Labrador,2021A000210,Men+,45 to 64 years,"Wait time, 6 months or more",2.2.3.4.4,22.6
v1793296228,Newfoundland and Labrador,2021A000210,Men+,45 to 64 years,Satisfaction with wait time - Very satisfied or satisfied,2.2.3.5.4,45.7
v1793296235,Newfoundland and Labrador,2021A000210,Men+,45 to 64 years,Satisfaction with wait time - Dissatisfied or very dissatisfied,2.2.3.6.4,35.4
v1793296242,Newfoundland and Labrador,2021A000210,Men+,45 to 64 years,Life affected by wait time,2.2.3.7.4,67.9
v1793296249,Newfoundland and Labrador,2021A000210,Men+,65 years and over,"Total, wait time - medical specialist",2.2.4.1.4,100.0
v1793296256,Newfoundland and Labrador,2021A000210,Men+,65 years and over,"Wait time, less than 3 months",2.2.4.2.4,64.5
v1793296263,Newfoundland and Labrador,2021A000210,Men+,65 years and over,"Wait time, 3 months to less than 6 months",2.2.4.3.4,18.7
v1793296270,Newfoundland and Labrador,2021A000210,Men+,65 years and over,"Wait time, 6 months or more",2.2.4.4.4,16.8
v1793296277,Newfoundland and Labrador,2021A000210,Men+,65 years and over,Satisfaction with wait time - Very satisfied or satisfied,2.2.4.5.4,61.8
v1793296284,Newfoundland and Labrador,2021A000210,Men+,65 years and over,Satisfaction with wait time - Dissatisfied or very dissatisfied,2.2.4.6.4,15.6
v1793296291,Newfoundland and Labrador,2021A000210,Men+,65 years and over,Life affected by wait time,2.2.4.7.4,52.7
v1793296298,Newfoundland and Labrador,2021A000210,Women+,"Total, 18 years and over","Total, wait time - medical specialist",2.3.1.1.4,100.0
v1793296305,Newfoundland and Labrador,2021A000210,Women+,"Total, 18 years and over","Wait time, less than 3 months",2.3.1.2.4,52.3
v1793296312,Newfoundland and Labrador,2021A000210,Women+,"Total, 18 years and over","Wait time, 3 months to less than 6 months",2.3.1.3.4,19.8
v1793296319,Newfoundland and Labrador,2021A000210,Women+,"Total, 18 years and over","Wait time, 6 months or more",2.3.1.4.4,27.9
v1793296326,Newfoundland and Labrador,2021A000210,Women+,"Total, 18 years and over",Satisfaction with wait time - Very satisfied or satisfied,2.3.1.5.4,50.4
v1793296333,Newfoundland and Labrador,2021A000210,Women+,"Total, 18 years and over",Satisfaction with wait time - Dissatisfied or very dissatisfied,2.3.1.6.4,30.1
v1793296340,Newfoundland and Labrador,2021A000210,Women+,"Total, 18 years and over",Life affected by wait time,2.3.1.7.4,62.5
v1793296347,Newfoundland and Labrador,2021A000210,Women+,18 to 44 years,"Total, wait time - medical specialist",2.3.2.1.4,100.0
v1793296354,Newfoundland and Labrador,2021A000210,Women+,18 to 44 years,"Wait time, less than 3 months",2.3.2.2.4,47.9
v1793296361,Newfoundland and Labrador,2021A000210,Women+,18 to 44 years,"Wait time, 3 months to less than 6 months",2.3.2.3.4,21.7
v1793296368,Newfoundland and Labrador,2021A000210,Women+,18 to 44 years,"Wait time, 6 months or more",2.3.2.4.4,30.4
v1793296375,Newfoundland and Labrador,2021A000210,Women+,18 to 44 years,Satisfaction with wait time - Very satisfied or satisfied,2.3.2.5.4,40.8
v1793296382,Newfoundland and Labrador,2021A000210,Women+,18 to 44 years,Satisfaction with wait time - Dissatisfied or very dissatisfied,2.3.2.6.4,39.0
