vector,geo,dguid,gender,age_group,indicators,coordinate,value
v1792541477,New Brunswick,2021A000213,Women+,18 to 44 years,Consulted a medical specialist for an initial consultation in the past 12 months,5.3.2.11.4,29.4
v1792541484,New Brunswick,2021A000213,Women+,18 to 44 years,Experienced difficulties getting specialist care in the past 12 months,5.3.2.12.4,31.2
v1792541491,New Brunswick,2021A000213,Women+,18 to 44 years,Level of coordination between health care providers in the past 12 months - Very good or excellent,5.3.2.13.4,42.6
v1792541498,New Brunswick,2021A000213,Women+,18 to 44 years,Level of coordination between health care providers in the past 12 months - Fair or poor,5.3.2.14.4,25.9
v1792541505,New Brunswick,2021A000213,Women+,18 to 44 years,Experienced discrimination in a health care setting in the past 12 months,5.3.2.15.4,11.7
v1792541512,New Brunswick,2021A000213,Women+,18 to 44 years,Had unmet health care needs in the past 12 months,5.3.2.16.4,30.3
v1792541519,New Brunswick,2021A000213,Women+,18 to 44 years,"Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",5.3.2.17.4,17.7
v1792541526,New Brunswick,2021A000213,Women+,18 to 44 years,Has insurance that covers all or part of the cost of prescription medications,5.3.2.18.4,83.6
v1792541533,New Brunswick,2021A000213,Women+,45 to 64 years,Has at least one chronic condition,5.3.3.1.4,61.8
v1792541540,New Brunswick,2021A000213,Women+,45 to 64 years,Perceived health - Very good or excellent,5.3.3.2.4,43.2
v1792541547,New Brunswick,2021A000213,Women+,45 to 64 years,Perceived health - Fair or poor,5.3.3.3.4,19.3
v1792541554,New Brunswick,2021A000213,Women+,45 to 64 years,Perceived mental health - Very good or excellent,5.3.3.4.4,46.4
v1792541561,New Brunswick,2021A000213,Women+,45 to 64 years,Perceived mental health - Fair or poor,5.3.3.5.4,14.4
v1792541568,New Brunswick,2021A000213,Women+,45 to 64 years,Has a regular health care provider,5.3.3.6.4,80.7
v1792541575,New Brunswick,2021A000213,Women+,45 to 64 years,Consulted a health care provider for a non-urgent primary health care need in the past 12 months,5.3.3.7.4,82.4
v1792541582,New Brunswick,2021A000213,Women+,45 to 64 years,Quality of consultation in the past 12 months - Very good or excellent,5.3.3.8.4,76.3
v1792541589,New Brunswick,2021A000213,Women+,45 to 64 years,Quality of consultation in the past 12 months - Fair or poor,5.3.3.9.4,6.9
v1792541596,New Brunswick,2021A000213,Women+,45 to 64 years,Experienced difficulties getting non-urgent primary health care in the past 12 months,5.3.3.10.4,36.2
v1792541603,New Brunswick,2021A000213,Women+,45 to 64 years,Consulted a medical specialist for an initial consultation in the past 12 months,5.3.3.11.4,30.6
v1792541610,New Brunswick,2021A000213,Women+,45 to 64 years,Experienced difficulties getting specialist care in the past 12 months,5.3.3.12.4,30.2
v1792541617,New Brunswick,2021A000213,Women+,45 to 64 years,Level of coordination between health care providers in the past 12 months - Very good or excellent,5.3.3.13.4,57.9
v1792541624,New Brunswick,2021A000213,Women+,45 to 64 years,Level of coordination between health care providers in the past 12 months - Fair or poor,5.3.3.14.4,16.5
v1792541631,New Brunswick,2021A000213,Women+,45 to 64 years,Experienced discrimination in a health care setting in the past 12 months,5.3.3.15.4,7.6
v1792541638,New Brunswick,2021A000213,Women+,45 to 64 years,Had unmet health care needs in the past 12 months,5.3.3.16.4,25.4
v1792541645,New Brunswick,2021A000213,Women+,45 to 64 years,"Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",5.3.3.17.4,9.8
v1792541652,New Brunswick,2021A000213,Women+,45 to 64 years,Has insurance that covers all or part of the cost of prescription medications,5.3.3.18.4,84.9
v1792541659,New Brunswick,2021A000213,Women+,65 years and over,Has at least one chronic condition,5.3.4.1.4,81.3
v1792541666,New Brunswick,2021A000213,Women+,65 years and over,Perceived health - Very good or excellent,5.3.4.2.4,36.3
v1792541673,New Brunswick,2021A000213,Women+,65 years and over,Perceived health - Fair or poor,5.3.4.3.4,25.4
v1792541680,New Brunswick,2021A000213,Women+,65 years and over,Perceived mental health - Very good or excellent,5.3.4.4.4,54.4
v1792541687,New Brunswick,2021A000213,Women+,65 years and over,Perceived mental health - Fair or poor,5.3.4.5.4,9.4
v1792541694,New Brunswick,2021A000213,Women+,65 years and over,Has a regular health care provider,5.3.4.6.4,87.7
v1792541701,New Brunswick,2021A000213,Women+,65 years and over,Consulted a health care provider for a non-urgent primary health care need in the past 12 months,5.3.4.7.4,80.4
v1792541708,New Brunswick,2021A000213,Women+,65 years and over,Quality of consultation in the past 12 months - Very good or excellent,5.3.4.8.4,79.9
v1792541715,New Brunswick,2021A000213,Women+,65 years and over,Quality of consultation in the past 12 months - Fair or poor,5.3.4.9.4,4.7
v1792541722,New Brunswick,2021A000213,Women+,65 years and over,Experienced difficulties getting non-urgent primary health care in the past 12 months,5.3.4.10.4,28.5
v1792541729,New Brunswick,2021A000213,Women+,65 years and over,Consulted a medical specialist for an initial consultation in the past 12 months,5.3.4.11.4,36.2
v1792541736,New Brunswick,2021A000213,Women+,65 years and over,Experienced difficulties getting specialist care in the past 12 months,5.3.4.12.4,24.0
v1792541743,New Brunswick,2021A000213,Women+,65 years and over,Level of coordination between health care providers in the past 12 months - Very good or excellent,5.3.4.13.4,60.9
v1792541750,New Brunswick,2021A000213,Women+,65 years and over,Level of coordination between health care providers in the past 12 months - Fair or poor,5.3.4.14.4,9.0
v1792541757,New Brunswick,2021A000213,Women+,65 years and over,Experienced discrimination in a health care setting in the past 12 months,5.3.4.15.4,4.3
v1792541764,New Brunswick,2021A000213,Women+,65 years and over,Had unmet health care needs in the past 12 months,5.3.4.16.4,15.0
v1792541771,New Brunswick,2021A000213,Women+,65 years and over,"Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",5.3.4.17.4,6.7
v1792541778,New Brunswick,2021A000213,Women+,65 years and over,Has insurance that covers all or part of the cost of prescription medications,5.3.4.18.4,82.5
v1792541785,Quebec,2021A000224,Both genders,"Total, 18 years and over",Has at least one chronic condition,6.1.1.1.4,49.7
v1792541792,Quebec,2021A000224,Both genders,"Total, 18 years and over",Perceived health - Very good or excellent,6.1.1.2.4,57.8
v1792541799,Quebec,2021A000224,Both genders,"Total, 18 years and over",Perceived health - Fair or poor,6.1.1.3.4,10.7
v1792541806,Quebec,2021A000224,Both genders,"Total, 18 years and over",Perceived mental health - Very good or excellent,6.1.1.4.4,65.2
v1792541813,Quebec,2021A000224,Both genders,"Total, 18 years and over",Perceived mental health - Fair or poor,6.1.1.5.4,8.1
v1792541820,Quebec,2021A000224,Both genders,"Total, 18 years and over",Has a regular health care provider,6.1.1.6.4,71.4
v1792541827,Quebec,2021A000224,Both genders,"Total, 18 years and over",Consulted a health care provider for a non-urgent primary health care need in the past 12 months,6.1.1.7.4,68.7
v1792541834,Quebec,2021A000224,Both genders,"Total, 18 years and over",Quality of consultation in the past 12 months - Very good or excellent,6.1.1.8.4,75.2
v1792541841,Quebec,2021A000224,Both genders,"Total, 18 years and over",Quality of consultation in the past 12 months - Fair or poor,6.1.1.9.4,8.6
v1792541848,Quebec,2021A000224,Both genders,"Total, 18 years and over",Experienced difficulties getting non-urgent primary health care in the past 12 months,6.1.1.10.4,37.5
v1792541855,Quebec,2021A000224,Both genders,"Total, 18 years and over",Consulted a medical specialist for an initial consultation in the past 12 months,6.1.1.11.4,33.7
v1792541862,Quebec,2021A000224,Both genders,"Total, 18 years and over",Experienced difficulties getting specialist care in the past 12 months,6.1.1.12.4,27.7
v1792541869,Quebec,2021A000224,Both genders,"Total, 18 years and over",Level of coordination between health care providers in the past 12 months - Very good or excellent,6.1.1.13.4,58.2
v1792541876,Quebec,2021A000224,Both genders,"Total, 18 years and over",Level of coordination between health care providers in the past 12 months - Fair or poor,6.1.1.14.4,18.3
v1792541883,Quebec,2021A000224,Both genders,"Total, 18 years and over",Experienced discrimination in a health care setting in the past 12 months,6.1.1.15.4,5.7
v1792541890,Quebec,2021A000224,Both genders,"Total, 18 years and over",Had unmet health care needs in the past 12 months,6.1.1.16.4,24.6
v1792541897,Quebec,2021A000224,Both genders,"Total, 18 years and over","Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",6.1.1.17.4,9.9
v1792541904,Quebec,2021A000224,Both genders,"Total, 18 years and over",Has insurance that covers all or part of the cost of prescription medications,6.1.1.18.4,78.5
v1792541911,Quebec,2021A000224,Both genders,18 to 44 years,Has at least one chronic condition,6.1.2.1.4,31.9
v1792541918,Quebec,2021A000224,Both genders,18 to 44 years,Perceived health - Very good or excellent,6.1.2.2.4,66.7
v1792541925,Quebec,2021A000224,Both genders,18 to 44 years,Perceived health - Fair or poor,6.1.2.3.4,6.0
v1792541932,Quebec,2021A000224,Both genders,18 to 44 years,Perceived mental health - Very good or excellent,6.1.2.4.4,58.6
v1792541939,Quebec,2021A000224,Both genders,18 to 44 years,Perceived mental health - Fair or poor,6.1.2.5.4,11.7
v1792541946,Quebec,2021A000224,Both genders,18 to 44 years,Has a regular health care provider,6.1.2.6.4,61.5
v1792541953,Quebec,2021A000224,Both genders,18 to 44 years,Consulted a health care provider for a non-urgent primary health care need in the past 12 months,6.1.2.7.4,62.9
v1792541960,Quebec,2021A000224,Both genders,18 to 44 years,Quality of consultation in the past 12 months - Very good or excellent,6.1.2.8.4,71.1
v1792541967,Quebec,2021A000224,Both genders,18 to 44 years,Quality of consultation in the past 12 months - Fair or poor,6.1.2.9.4,11.5
v1792541974,Quebec,2021A000224,Both genders,18 to 44 years,Experienced difficulties getting non-urgent primary health care in the past 12 months,6.1.2.10.4,43.4
v1792541981,Quebec,2021A000224,Both genders,18 to 44 years,Consulted a medical specialist for an initial consultation in the past 12 months,6.1.2.11.4,26.9
v1792541988,Quebec,2021A000224,Both genders,18 to 44 years,Experienced difficulties getting specialist care in the past 12 months,6.1.2.12.4,29.8
v1792541995,Quebec,2021A000224,Both genders,18 to 44 years,Level of coordination between health care providers in the past 12 months - Very good or excellent,6.1.2.13.4,50.0
v1792542002,Quebec,2021A000224,Both genders,18 to 44 years,Level of coordination between health care providers in the past 12 months - Fair or poor,6.1.2.14.4,31.0
v1792542009,Quebec,2021A000224,Both genders,18 to 44 years,Experienced discrimination in a health care setting in the past 12 months,6.1.2.15.4,8.0
v1792542016,Quebec,2021A000224,Both genders,18 to 44 years,Had unmet health care needs in the past 12 months,6.1.2.16.4,30.1
v1792542023,Quebec,2021A000224,Both genders,18 to 44 years,"Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",6.1.2.17.4,15.2
v1792542030,Quebec,2021A000224,Both genders,18 to 44 years,Has insurance that covers all or part of the cost of prescription medications,6.1.2.18.4,85.2
v1792542037,Quebec,2021A000224,Both genders,45 to 64 years,Has at least one chronic condition,6.1.3.1.4,52.6
v1792542044,Quebec,2021A000224,Both genders,45 to 64 years,Perceived health - Very good or excellent,6.1.3.2.4,57.0
v1792542051,Quebec,2021A000224,Both genders,45 to 64 years,Perceived health - Fair or poor,6.1.3.3.4,11.0
v1792542058,Quebec,2021A000224,Both genders,45 to 64 years,Perceived mental health - Very good or excellent,6.1.3.4.4,68.2
v1792542065,Quebec,2021A000224,Both genders,45 to 64 years,Perceived mental health - Fair or poor,6.1.3.5.4,5.8
v1792542072,Quebec,2021A000224,Both genders,45 to 64 years,Has a regular health care provider,6.1.3.6.4,76.9
v1792542079,Quebec,2021A000224,Both genders,45 to 64 years,Consulted a health care provider for a non-urgent primary health care need in the past 12 months,6.1.3.7.4,72.7
v1792542086,Quebec,2021A000224,Both genders,45 to 64 years,Quality of consultation in the past 12 months - Very good or excellent,6.1.3.8.4,74.5
v1792542093,Quebec,2021A000224,Both genders,45 to 64 years,Quality of consultation in the past 12 months - Fair or poor,6.1.3.9.4,8.5
v1792542100,Quebec,2021A000224,Both genders,45 to 64 years,Experienced difficulties getting non-urgent primary health care in the past 12 months,6.1.3.10.4,37.6
v1792542107,Quebec,2021A000224,Both genders,45 to 64 years,Consulted a medical specialist for an initial consultation in the past 12 months,6.1.3.11.4,36.0
v1792542114,Quebec,2021A000224,Both genders,45 to 64 years,Experienced difficulties getting specialist care in the past 12 months,6.1.3.12.4,30.7
v1792542121,Quebec,2021A000224,Both genders,45 to 64 years,Level of coordination between health care providers in the past 12 months - Very good or excellent,6.1.3.13.4,58.2
v1792542128,Quebec,2021A000224,Both genders,45 to 64 years,Level of coordination between health care providers in the past 12 months - Fair or poor,6.1.3.14.4,18.4
v1792542135,Quebec,2021A000224,Both genders,45 to 64 years,Experienced discrimination in a health care setting in the past 12 months,6.1.3.15.4,5.4
v1792542142,Quebec,2021A000224,Both genders,45 to 64 years,Had unmet health care needs in the past 12 months,6.1.3.16.4,25.1
v1792542149,Quebec,2021A000224,Both genders,45 to 64 years,"Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",6.1.3.17.4,8.1
v1792542156,Quebec,2021A000224,Both genders,45 to 64 years,Has insurance that covers all or part of the cost of prescription medications,6.1.3.18.4,82.5
v1792542163,Quebec,2021A000224,Both genders,65 years and over,Has at least one chronic condition,6.1.4.1.4,75.1
v1792542170,Quebec,2021A000224,Both genders,65 years and over,Perceived health - Very good or excellent,6.1.4.2.4,44.0
v1792542177,Quebec,2021A000224,Both genders,65 years and over,Perceived health - Fair or poor,6.1.4.3.4,18.1
v1792542184,Quebec,2021A000224,Both genders,65 years and over,Perceived mental health - Very good or excellent,6.1.4.4.4,72.7
v1792542191,Quebec,2021A000224,Both genders,65 years and over,Perceived mental health - Fair or poor,6.1.4.5.4,5.0
v1792542198,Quebec,2021A000224,Both genders,65 years and over,Has a regular health care provider,6.1.4.6.4,81.3
v1792542205,Quebec,2021A000224,Both genders,65 years and over,Consulted a health care provider for a non-urgent primary health care need in the past 12 months,6.1.4.7.4,73.3
v1792542212,Quebec,2021A000224,Both genders,65 years and over,Quality of consultation in the past 12 months - Very good or excellent,6.1.4.8.4,82.1
v1792542219,Quebec,2021A000224,Both genders,65 years and over,Quality of consultation in the past 12 months - Fair or poor,6.1.4.9.4,4.6
v1792542226,Quebec,2021A000224,Both genders,65 years and over,Experienced difficulties getting non-urgent primary health care in the past 12 months,6.1.4.10.4,27.3
v1792542233,Quebec,2021A000224,Both genders,65 years and over,Consulted a medical specialist for an initial consultation in the past 12 months,6.1.4.11.4,42.3
v1792542240,Quebec,2021A000224,Both genders,65 years and over,Experienced difficulties getting specialist care in the past 12 months,6.1.4.12.4,20.6
v1792542247,Quebec,2021A000224,Both genders,65 years and over,Level of coordination between health care providers in the past 12 months - Very good or excellent,6.1.4.13.4,65.6
v1792542254,Quebec,2021A000224,Both genders,65 years and over,Level of coordination between health care providers in the past 12 months - Fair or poor,6.1.4.14.4,6.8
v1792542261,Quebec,2021A000224,Both genders,65 years and over,Experienced discrimination in a health care setting in the past 12 months,6.1.4.15.4,2.9
v1792542268,Quebec,2021A000224,Both genders,65 years and over,Had unmet health care needs in the past 12 months,6.1.4.16.4,14.5
v1792542275,Quebec,2021A000224,Both genders,65 years and over,"Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",6.1.4.17.4,5.1
v1792542282,Quebec,2021A000224,Both genders,65 years and over,Has insurance that covers all or part of the cost of prescription medications,6.1.4.18.4,62.5
v1792542289,Quebec,2021A000224,Men+,"Total, 18 years and over",Has at least one chronic condition,6.2.1.1.4,44.3
v1792542296,Quebec,2021A000224,Men+,"Total, 18 years and over",Perceived health - Very good or excellent,6.2.1.2.4,60.7
v1792542303,Quebec,2021A000224,Men+,"Total, 18 years and over",Perceived health - Fair or poor,6.2.1.3.4,9.9
v1792542310,Quebec,2021A000224,Men+,"Total, 18 years and over",Perceived mental health - Very good or excellent,6.2.1.4.4,70.5
v1792542317,Quebec,2021A000224,Men+,"Total, 18 years and over",Perceived mental health - Fair or poor,6.2.1.5.4,6.3
v1792542324,Quebec,2021A000224,Men+,"Total, 18 years and over",Has a regular health care provider,6.2.1.6.4,66.5
v1792542331,Quebec,2021A000224,Men+,"Total, 18 years and over",Consulted a health care provider for a non-urgent primary health care need in the past 12 months,6.2.1.7.4,60.7
v1792542338,Quebec,2021A000224,Men+,"Total, 18 years and over",Quality of consultation in the past 12 months - Very good or excellent,6.2.1.8.4,74.4
v1792542345,Quebec,2021A000224,Men+,"Total, 18 years and over",Quality of consultation in the past 12 months - Fair or poor,6.2.1.9.4,8.5
v1792542352,Quebec,2021A000224,Men+,"Total, 18 years and over",Experienced difficulties getting non-urgent primary health care in the past 12 months,6.2.1.10.4,32.8
v1792542359,Quebec,2021A000224,Men+,"Total, 18 years and over",Consulted a medical specialist for an initial consultation in the past 12 months,6.2.1.11.4,30.5
v1792542366,Quebec,2021A000224,Men+,"Total, 18 years and over",Experienced difficulties getting specialist care in the past 12 months,6.2.1.12.4,24.6
v1792542373,Quebec,2021A000224,Men+,"Total, 18 years and over",Level of coordination between health care providers in the past 12 months - Very good or excellent,6.2.1.13.4,61.0
v1792542380,Quebec,2021A000224,Men+,"Total, 18 years and over",Level of coordination between health care providers in the past 12 months - Fair or poor,6.2.1.14.4,16.3
v1792542387,Quebec,2021A000224,Men+,"Total, 18 years and over",Experienced discrimination in a health care setting in the past 12 months,6.2.1.15.4,3.1
v1792542394,Quebec,2021A000224,Men+,"Total, 18 years and over",Had unmet health care needs in the past 12 months,6.2.1.16.4,20.4
v1792542401,Quebec,2021A000224,Men+,"Total, 18 years and over","Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",6.2.1.17.4,7.0
v1792542408,Quebec,2021A000224,Men+,"Total, 18 years and over",Has insurance that covers all or part of the cost of prescription medications,6.2.1.18.4,77.8
v1792542415,Quebec,2021A000224,Men+,18 to 44 years,Has at least one chronic condition,6.2.2.1.4,24.5
v1792542422,Quebec,2021A000224,Men+,18 to 44 years,Perceived health - Very good or excellent,6.2.2.2.4,68.5
v1792542429,Quebec,2021A000224,Men+,18 to 44 years,Perceived health - Fair or poor,6.2.2.3.4,5.6
v1792542436,Quebec,2021A000224,Men+,18 to 44 years,Perceived mental health - Very good or excellent,6.2.2.4.4,67.1
v1792542443,Quebec,2021A000224,Men+,18 to 44 years,Perceived mental health - Fair or poor,6.2.2.5.4,7.7
v1792542450,Quebec,2021A000224,Men+,18 to 44 years,Has a regular health care provider,6.2.2.6.4,54.2
v1792542457,Quebec,2021A000224,Men+,18 to 44 years,Consulted a health care provider for a non-urgent primary health care need in the past 12 months,6.2.2.7.4,50.6
v1792542464,Quebec,2021A000224,Men+,18 to 44 years,Quality of consultation in the past 12 months - Very good or excellent,6.2.2.8.4,65.0
v1792542471,Quebec,2021A000224,Men+,18 to 44 years,Quality of consultation in the past 12 months - Fair or poor,6.2.2.9.4,12.8
v1792542478,Quebec,2021A000224,Men+,18 to 44 years,Experienced difficulties getting non-urgent primary health care in the past 12 months,6.2.2.10.4,36.9
v1792542485,Quebec,2021A000224,Men+,18 to 44 years,Consulted a medical specialist for an initial consultation in the past 12 months,6.2.2.11.4,21.5
v1792542492,Quebec,2021A000224,Men+,18 to 44 years,Experienced difficulties getting specialist care in the past 12 months,6.2.2.12.4,26.7
v1792542520,Quebec,2021A000224,Men+,18 to 44 years,Had unmet health care needs in the past 12 months,6.2.2.16.4,25.1
v1792542527,Quebec,2021A000224,Men+,18 to 44 years,"Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",6.2.2.17.4,9.8
v1792542534,Quebec,2021A000224,Men+,18 to 44 years,Has insurance that covers all or part of the cost of prescription medications,6.2.2.18.4,83.1
v1792542541,Quebec,2021A000224,Men+,45 to 64 years,Has at least one chronic condition,6.2.3.1.4,49.5
v1792542548,Quebec,2021A000224,Men+,45 to 64 years,Perceived health - Very good or excellent,6.2.3.2.4,62.2
v1792542555,Quebec,2021A000224,Men+,45 to 64 years,Perceived health - Fair or poor,6.2.3.3.4,10.2
v1792542562,Quebec,2021A000224,Men+,45 to 64 years,Perceived mental health - Very good or excellent,6.2.3.4.4,71.5
v1792542569,Quebec,2021A000224,Men+,45 to 64 years,Perceived mental health - Fair or poor,6.2.3.5.4,5.1
v1792542576,Quebec,2021A000224,Men+,45 to 64 years,Has a regular health care provider,6.2.3.6.4,74.0
v1792542583,Quebec,2021A000224,Men+,45 to 64 years,Consulted a health care provider for a non-urgent primary health care need in the past 12 months,6.2.3.7.4,66.2
v1792542590,Quebec,2021A000224,Men+,45 to 64 years,Quality of consultation in the past 12 months - Very good or excellent,6.2.3.8.4,77.2
v1792542597,Quebec,2021A000224,Men+,45 to 64 years,Quality of consultation in the past 12 months - Fair or poor,6.2.3.9.4,8.0
v1792542604,Quebec,2021A000224,Men+,45 to 64 years,Experienced difficulties getting non-urgent primary health care in the past 12 months,6.2.3.10.4,33.1
v1792542611,Quebec,2021A000224,Men+,45 to 64 years,Consulted a medical specialist for an initial consultation in the past 12 months,6.2.3.11.4,31.3
v1792542618,Quebec,2021A000224,Men+,45 to 64 years,Experienced difficulties getting specialist care in the past 12 months,6.2.3.12.4,25.2
v1792542625,Quebec,2021A000224,Men+,45 to 64 years,Level of coordination between health care providers in the past 12 months - Very good or excellent,6.2.3.13.4,64.2
v1792542632,Quebec,2021A000224,Men+,45 to 64 years,Level of coordination between health care providers in the past 12 months - Fair or poor,6.2.3.14.4,11.9
v1792542639,Quebec,2021A000224,Men+,45 to 64 years,Experienced discrimination in a health care setting in the past 12 months,6.2.3.15.4,2.9
v1792542646,Quebec,2021A000224,Men+,45 to 64 years,Had unmet health care needs in the past 12 months,6.2.3.16.4,21.3
v1792542653,Quebec,2021A000224,Men+,45 to 64 years,"Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",6.2.3.17.4,7.1
v1792542660,Quebec,2021A000224,Men+,45 to 64 years,Has insurance that covers all or part of the cost of prescription medications,6.2.3.18.4,83.2
v1792542667,Quebec,2021A000224,Men+,65 years and over,Has at least one chronic condition,6.2.4.1.4,72.6
v1792542674,Quebec,2021A000224,Men+,65 years and over,Perceived health - Very good or excellent,6.2.4.2.4,44.3
v1792542681,Quebec,2021A000224,Men+,65 years and over,Perceived health - Fair or poor,6.2.4.3.4,17.5
v1792542688,Quebec,2021A000224,Men+,65 years and over,Perceived mental health - Very good or excellent,6.2.4.4.4,75.4
v1792542695,Quebec,2021A000224,Men+,65 years and over,Perceived mental health - Fair or poor,6.2.4.5.4,5.3
v1792542702,Quebec,2021A000224,Men+,65 years and over,Has a regular health care provider,6.2.4.6.4,78.8
v1792542709,Quebec,2021A000224,Men+,65 years and over,Consulted a health care provider for a non-urgent primary health care need in the past 12 months,6.2.4.7.4,71.8
v1792542716,Quebec,2021A000224,Men+,65 years and over,Quality of consultation in the past 12 months - Very good or excellent,6.2.4.8.4,83.1
v1792542723,Quebec,2021A000224,Men+,65 years and over,Quality of consultation in the past 12 months - Fair or poor,6.2.4.9.4,3.5
v1792542730,Quebec,2021A000224,Men+,65 years and over,Experienced difficulties getting non-urgent primary health care in the past 12 months,6.2.4.10.4,24.9
v1792542737,Quebec,2021A000224,Men+,65 years and over,Consulted a medical specialist for an initial consultation in the past 12 months,6.2.4.11.4,46.3
v1792542744,Quebec,2021A000224,Men+,65 years and over,Experienced difficulties getting specialist care in the past 12 months,6.2.4.12.4,20.2
v1792542751,Quebec,2021A000224,Men+,65 years and over,Level of coordination between health care providers in the past 12 months - Very good or excellent,6.2.4.13.4,64.6
v1792542758,Quebec,2021A000224,Men+,65 years and over,Level of coordination between health care providers in the past 12 months - Fair or poor,6.2.4.14.4,9.4
v1792542765,Quebec,2021A000224,Men+,65 years and over,Experienced discrimination in a health care setting in the past 12 months,6.2.4.15.4,3.0
v1792542772,Quebec,2021A000224,Men+,65 years and over,Had unmet health care needs in the past 12 months,6.2.4.16.4,10.4
v1792542779,Quebec,2021A000224,Men+,65 years and over,"Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",6.2.4.17.4,3.8
v1792542786,Quebec,2021A000224,Men+,65 years and over,Has insurance that covers all or part of the cost of prescription medications,6.2.4.18.4,60.7
v1792542793,Quebec,2021A000224,Women+,"Total, 18 years and over",Has at least one chronic condition,6.3.1.1.4,55.2
v1792542800,Quebec,2021A000224,Women+,"Total, 18 years and over",Perceived health - Very good or excellent,6.3.1.2.4,55.0
v1792542807,Quebec,2021A000224,Women+,"Total, 18 years and over",Perceived health - Fair or poor,6.3.1.3.4,11.4
v1792542814,Quebec,2021A000224,Women+,"Total, 18 years and over",Perceived mental health - Very good or excellent,6.3.1.4.4,60.0
v1792542821,Quebec,2021A000224,Women+,"Total, 18 years and over",Perceived mental health - Fair or poor,6.3.1.5.4,10.0
v1792542828,Quebec,2021A000224,Women+,"Total, 18 years and over",Has a regular health care provider,6.3.1.6.4,76.4
v1792542835,Quebec,2021A000224,Women+,"Total, 18 years and over",Consulted a health care provider for a non-urgent primary health care need in the past 12 months,6.3.1.7.4,76.6
v1792542842,Quebec,2021A000224,Women+,"Total, 18 years and over",Quality of consultation in the past 12 months - Very good or excellent,6.3.1.8.4,75.8
v1792542849,Quebec,2021A000224,Women+,"Total, 18 years and over",Quality of consultation in the past 12 months - Fair or poor,6.3.1.9.4,8.7
v1792542856,Quebec,2021A000224,Women+,"Total, 18 years and over",Experienced difficulties getting non-urgent primary health care in the past 12 months,6.3.1.10.4,42.1
v1792542863,Quebec,2021A000224,Women+,"Total, 18 years and over",Consulted a medical specialist for an initial consultation in the past 12 months,6.3.1.11.4,36.8
v1792542870,Quebec,2021A000224,Women+,"Total, 18 years and over",Experienced difficulties getting specialist care in the past 12 months,6.3.1.12.4,30.9
v1792542877,Quebec,2021A000224,Women+,"Total, 18 years and over",Level of coordination between health care providers in the past 12 months - Very good or excellent,6.3.1.13.4,56.1
v1792542884,Quebec,2021A000224,Women+,"Total, 18 years and over",Level of coordination between health care providers in the past 12 months - Fair or poor,6.3.1.14.4,19.9
v1792542891,Quebec,2021A000224,Women+,"Total, 18 years and over",Experienced discrimination in a health care setting in the past 12 months,6.3.1.15.4,7.9
v1792542898,Quebec,2021A000224,Women+,"Total, 18 years and over",Had unmet health care needs in the past 12 months,6.3.1.16.4,28.8
v1792542905,Quebec,2021A000224,Women+,"Total, 18 years and over","Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",6.3.1.17.4,12.1
v1792542912,Quebec,2021A000224,Women+,"Total, 18 years and over",Has insurance that covers all or part of the cost of prescription medications,6.3.1.18.4,79.3
v1792542919,Quebec,2021A000224,Women+,18 to 44 years,Has at least one chronic condition,6.3.2.1.4,39.8
v1792542926,Quebec,2021A000224,Women+,18 to 44 years,Perceived health - Very good or excellent,6.3.2.2.4,64.8
v1792542933,Quebec,2021A000224,Women+,18 to 44 years,Perceived health - Fair or poor,6.3.2.3.4,6.4
v1792542940,Quebec,2021A000224,Women+,18 to 44 years,Perceived mental health - Very good or excellent,6.3.2.4.4,49.6
v1792542947,Quebec,2021A000224,Women+,18 to 44 years,Perceived mental health - Fair or poor,6.3.2.5.4,15.9
v1792542954,Quebec,2021A000224,Women+,18 to 44 years,Has a regular health care provider,6.3.2.6.4,69.3
v1792542961,Quebec,2021A000224,Women+,18 to 44 years,Consulted a health care provider for a non-urgent primary health care need in the past 12 months,6.3.2.7.4,75.9
v1792542968,Quebec,2021A000224,Women+,18 to 44 years,Quality of consultation in the past 12 months - Very good or excellent,6.3.2.8.4,75.4
v1792542975,Quebec,2021A000224,Women+,18 to 44 years,Quality of consultation in the past 12 months - Fair or poor,6.3.2.9.4,10.6
v1792542982,Quebec,2021A000224,Women+,18 to 44 years,Experienced difficulties getting non-urgent primary health care in the past 12 months,6.3.2.10.4,50.2
v1792542989,Quebec,2021A000224,Women+,18 to 44 years,Consulted a medical specialist for an initial consultation in the past 12 months,6.3.2.11.4,32.6
