vector,geo,dguid,gender,age_group,indicators,coordinate,value
v1792534694,Canada (excluding territories),"",Both genders,65 years and over,Level of coordination between health care providers in the past 12 months - Fair or poor,1.1.4.14.4,11.0
v1792534701,Canada (excluding territories),"",Both genders,65 years and over,Experienced discrimination in a health care setting in the past 12 months,1.1.4.15.4,4.3
v1792534708,Canada (excluding territories),"",Both genders,65 years and over,Had unmet health care needs in the past 12 months,1.1.4.16.4,14.2
v1792534715,Canada (excluding territories),"",Both genders,65 years and over,"Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",1.1.4.17.4,7.0
v1792534722,Canada (excluding territories),"",Both genders,65 years and over,Has insurance that covers all or part of the cost of prescription medications,1.1.4.18.4,69.4
v1792534729,Canada (excluding territories),"",Men+,"Total, 18 years and over",Has at least one chronic condition,1.2.1.1.4,48.4
v1792534736,Canada (excluding territories),"",Men+,"Total, 18 years and over",Perceived health - Very good or excellent,1.2.1.2.4,55.0
v1792534743,Canada (excluding territories),"",Men+,"Total, 18 years and over",Perceived health - Fair or poor,1.2.1.3.4,13.0
v1792534750,Canada (excluding territories),"",Men+,"Total, 18 years and over",Perceived mental health - Very good or excellent,1.2.1.4.4,57.5
v1792534757,Canada (excluding territories),"",Men+,"Total, 18 years and over",Perceived mental health - Fair or poor,1.2.1.5.4,14.3
v1792534764,Canada (excluding territories),"",Men+,"Total, 18 years and over",Has a regular health care provider,1.2.1.6.4,77.4
v1792534771,Canada (excluding territories),"",Men+,"Total, 18 years and over",Consulted a health care provider for a non-urgent primary health care need in the past 12 months,1.2.1.7.4,69.1
v1792534778,Canada (excluding territories),"",Men+,"Total, 18 years and over",Quality of consultation in the past 12 months - Very good or excellent,1.2.1.8.4,71.1
v1792534785,Canada (excluding territories),"",Men+,"Total, 18 years and over",Quality of consultation in the past 12 months - Fair or poor,1.2.1.9.4,9.8
v1792534792,Canada (excluding territories),"",Men+,"Total, 18 years and over",Experienced difficulties getting non-urgent primary health care in the past 12 months,1.2.1.10.4,34.4
v1792534799,Canada (excluding territories),"",Men+,"Total, 18 years and over",Consulted a medical specialist for an initial consultation in the past 12 months,1.2.1.11.4,31.3
v1792540420,New Brunswick,2021A000213,Both genders,18 to 44 years,Perceived mental health - Very good or excellent,5.1.2.4.4,46.3
v1792534806,Canada (excluding territories),"",Men+,"Total, 18 years and over",Experienced difficulties getting specialist care in the past 12 months,1.2.1.12.4,26.8
v1792534813,Canada (excluding territories),"",Men+,"Total, 18 years and over",Level of coordination between health care providers in the past 12 months - Very good or excellent,1.2.1.13.4,56.4
v1792534820,Canada (excluding territories),"",Men+,"Total, 18 years and over",Level of coordination between health care providers in the past 12 months - Fair or poor,1.2.1.14.4,19.3
v1792534827,Canada (excluding territories),"",Men+,"Total, 18 years and over",Experienced discrimination in a health care setting in the past 12 months,1.2.1.15.4,5.6
v1792534834,Canada (excluding territories),"",Men+,"Total, 18 years and over",Had unmet health care needs in the past 12 months,1.2.1.16.4,19.9
v1792534841,Canada (excluding territories),"",Men+,"Total, 18 years and over","Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",1.2.1.17.4,12.3
v1792534848,Canada (excluding territories),"",Men+,"Total, 18 years and over",Has insurance that covers all or part of the cost of prescription medications,1.2.1.18.4,76.6
v1792534855,Canada (excluding territories),"",Men+,18 to 44 years,Has at least one chronic condition,1.2.2.1.4,32.1
v1792534862,Canada (excluding territories),"",Men+,18 to 44 years,Perceived health - Very good or excellent,1.2.2.2.4,63.8
v1792534869,Canada (excluding territories),"",Men+,18 to 44 years,Perceived health - Fair or poor,1.2.2.3.4,8.1
v1792534876,Canada (excluding territories),"",Men+,18 to 44 years,Perceived mental health - Very good or excellent,1.2.2.4.4,53.9
v1792534883,Canada (excluding territories),"",Men+,18 to 44 years,Perceived mental health - Fair or poor,1.2.2.5.4,18.9
v1792534890,Canada (excluding territories),"",Men+,18 to 44 years,Has a regular health care provider,1.2.2.6.4,69.5
v1792534897,Canada (excluding territories),"",Men+,18 to 44 years,Consulted a health care provider for a non-urgent primary health care need in the past 12 months,1.2.2.7.4,61.2
v1792534904,Canada (excluding territories),"",Men+,18 to 44 years,Quality of consultation in the past 12 months - Very good or excellent,1.2.2.8.4,64.3
