"REF_DATE","GEO","DGUID","Gender","Age group","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Wait time, less than 3 months","Number of persons","Number","223","units","0","v1793295371","1.1.2.2.1","2610700","","","","0"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Wait time, less than 3 months","Low 95% confidence interval, number of persons","Number","223","units","0","v1793295372","1.1.2.2.2","2419300","","","","0"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Wait time, less than 3 months","High 95% confidence interval, number of persons","Number","223","units","0","v1793295373","1.1.2.2.3","2791800","","","","0"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Wait time, less than 3 months","Percentage","Percent","239","units","0","v1793295374","1.1.2.2.4","61.9","","","","1"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Wait time, less than 3 months","Low 95% confidence interval, percentage","Percent","239","units","0","v1793295375","1.1.2.2.5","58.6","","","","1"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Wait time, less than 3 months","High 95% confidence interval, percentage","Percent","239","units","0","v1793295376","1.1.2.2.6","65.1","","","","1"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Wait time, less than 3 months","Statistically different from the Canada (excluding territories) rate","Rate","257","units","0","v1793295377","1.1.2.2.7","","..","","","0"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Wait time, 3 months to less than 6 months","Number of persons","Number","223","units","0","v1793295378","1.1.2.3.1","811500","","","","0"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Wait time, 3 months to less than 6 months","Low 95% confidence interval, number of persons","Number","223","units","0","v1793295379","1.1.2.3.2","687100","","","","0"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Wait time, 3 months to less than 6 months","High 95% confidence interval, number of persons","Number","223","units","0","v1793295380","1.1.2.3.3","929700","","","","0"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Wait time, 3 months to less than 6 months","Percentage","Percent","239","units","0","v1793295381","1.1.2.3.4","19.2","","","","1"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Wait time, 3 months to less than 6 months","Low 95% confidence interval, percentage","Percent","239","units","0","v1793295382","1.1.2.3.5","16.7","","","","1"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Wait time, 3 months to less than 6 months","High 95% confidence interval, percentage","Percent","239","units","0","v1793295383","1.1.2.3.6","22.0","","","","1"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Wait time, 3 months to less than 6 months","Statistically different from the Canada (excluding territories) rate","Rate","257","units","0","v1793295384","1.1.2.3.7","","..","","","0"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Wait time, 6 months or more","Number of persons","Number","223","units","0","v1793295385","1.1.2.4.1","796700","","","","0"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Wait time, 6 months or more","Low 95% confidence interval, number of persons","Number","223","units","0","v1793295386","1.1.2.4.2","684000","","","","0"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Wait time, 6 months or more","High 95% confidence interval, number of persons","Number","223","units","0","v1793295387","1.1.2.4.3","915400","","","","0"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Wait time, 6 months or more","Percentage","Percent","239","units","0","v1793295388","1.1.2.4.4","18.9","","","","1"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Wait time, 6 months or more","Low 95% confidence interval, percentage","Percent","239","units","0","v1793295389","1.1.2.4.5","16.5","","","","1"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Wait time, 6 months or more","High 95% confidence interval, percentage","Percent","239","units","0","v1793295390","1.1.2.4.6","21.6","","","","1"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Wait time, 6 months or more","Statistically different from the Canada (excluding territories) rate","Rate","257","units","0","v1793295391","1.1.2.4.7","","..","","","0"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Satisfaction with wait time - Very satisfied or satisfied","Number of persons","Number","223","units","0","v1793295392","1.1.2.5.1","1801800","","","","0"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Satisfaction with wait time - Very satisfied or satisfied","Low 95% confidence interval, number of persons","Number","223","units","0","v1793295393","1.1.2.5.2","1624300","","","","0"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Satisfaction with wait time - Very satisfied or satisfied","High 95% confidence interval, number of persons","Number","223","units","0","v1793295394","1.1.2.5.3","1958600","","","","0"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Satisfaction with wait time - Very satisfied or satisfied","Percentage","Percent","239","units","0","v1793295395","1.1.2.5.4","42.7","","","","1"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Satisfaction with wait time - Very satisfied or satisfied","Low 95% confidence interval, percentage","Percent","239","units","0","v1793295396","1.1.2.5.5","39.5","","","","1"
