"REF_DATE","GEO","DGUID","Gender","Age group","Indicators ","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Consulted a health care provider for a non-urgent primary health care need in the past 12 months","High 95% confidence interval, number of persons","Number","223","units","0","v1792534266","1.1.1.7.3","24451700","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Consulted a health care provider for a non-urgent primary health care need in the past 12 months","Percentage","Percent","239","units","0","v1792534267","1.1.1.7.4","75.0","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Consulted a health care provider for a non-urgent primary health care need in the past 12 months","Low 95% confidence interval, percentage","Percent","239","units","0","v1792534268","1.1.1.7.5","74.1","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Consulted a health care provider for a non-urgent primary health care need in the past 12 months","High 95% confidence interval, percentage","Percent","239","units","0","v1792534269","1.1.1.7.6","75.9","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Consulted a health care provider for a non-urgent primary health care need in the past 12 months","Statistically different from the Canada (excluding territories) rate","Rate","257","units","0","v1792534270","1.1.1.7.7","","..","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Quality of consultation in the past 12 months - Very good or excellent","Number of persons","Number","223","units","0","v1792534271","1.1.1.8.1","17012200","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Quality of consultation in the past 12 months - Very good or excellent","Low 95% confidence interval, number of persons","Number","223","units","0","v1792534272","1.1.1.8.2","16703900","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Quality of consultation in the past 12 months - Very good or excellent","High 95% confidence interval, number of persons","Number","223","units","0","v1792534273","1.1.1.8.3","17347300","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Quality of consultation in the past 12 months - Very good or excellent","Percentage","Percent","239","units","0","v1792534274","1.1.1.8.4","70.7","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Quality of consultation in the past 12 months - Very good or excellent","Low 95% confidence interval, percentage","Percent","239","units","0","v1792534275","1.1.1.8.5","69.7","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Quality of consultation in the past 12 months - Very good or excellent","High 95% confidence interval, percentage","Percent","239","units","0","v1792534276","1.1.1.8.6","71.8","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Quality of consultation in the past 12 months - Very good or excellent","Statistically different from the Canada (excluding territories) rate","Rate","257","units","0","v1792534277","1.1.1.8.7","","..","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Quality of consultation in the past 12 months - Fair or poor","Number of persons","Number","223","units","0","v1792534278","1.1.1.9.1","2475700","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Quality of consultation in the past 12 months - Fair or poor","Low 95% confidence interval, number of persons","Number","223","units","0","v1792534279","1.1.1.9.2","2309900","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Quality of consultation in the past 12 months - Fair or poor","High 95% confidence interval, number of persons","Number","223","units","0","v1792534280","1.1.1.9.3","2665900","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Quality of consultation in the past 12 months - Fair or poor","Percentage","Percent","239","units","0","v1792534281","1.1.1.9.4","10.3","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Quality of consultation in the past 12 months - Fair or poor","Low 95% confidence interval, percentage","Percent","239","units","0","v1792534282","1.1.1.9.5","9.6","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Quality of consultation in the past 12 months - Fair or poor","High 95% confidence interval, percentage","Percent","239","units","0","v1792534283","1.1.1.9.6","11.0","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Quality of consultation in the past 12 months - Fair or poor","Statistically different from the Canada (excluding territories) rate","Rate","257","units","0","v1792534284","1.1.1.9.7","","..","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Experienced difficulties getting non-urgent primary health care in the past 12 months","Number of persons","Number","223","units","0","v1792534285","1.1.1.10.1","12149600","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Experienced difficulties getting non-urgent primary health care in the past 12 months","Low 95% confidence interval, number of persons","Number","223","units","0","v1792534286","1.1.1.10.2","11821900","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Experienced difficulties getting non-urgent primary health care in the past 12 months","High 95% confidence interval, number of persons","Number","223","units","0","v1792534287","1.1.1.10.3","12453500","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Experienced difficulties getting non-urgent primary health care in the past 12 months","Percentage","Percent","239","units","0","v1792534288","1.1.1.10.4","38.6","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Experienced difficulties getting non-urgent primary health care in the past 12 months","Low 95% confidence interval, percentage","Percent","239","units","0","v1792534289","1.1.1.10.5","37.6","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Experienced difficulties getting non-urgent primary health care in the past 12 months","High 95% confidence interval, percentage","Percent","239","units","0","v1792534290","1.1.1.10.6","39.6","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Experienced difficulties getting non-urgent primary health care in the past 12 months","Statistically different from the Canada (excluding territories) rate","Rate","257","units","0","v1792534291","1.1.1.10.7","","..","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Consulted a medical specialist for an initial consultation in the past 12 months","Number of persons","Number","223","units","0","v1792534292","1.1.1.11.1","10851100","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Consulted a medical specialist for an initial consultation in the past 12 months","Low 95% confidence interval, number of persons","Number","223","units","0","v1792534293","1.1.1.11.2","10562900","","","","0"
